,pk,popularity,title,vote_count,vote_average,genres,director,genres_literal,weighted_vote
883,185789,7.184,Mulholland Dr.,,7.9,"['Thriller', 'TV Movie', 'Drama', 'Mystery']",Brian Grazer,Thriller TV Movie Drama Mystery,
884,58129,6.619,유령마차,,7.9,"['Drama', 'Fantasy', 'Horror']",Victor Sjöström,Drama Fantasy Horror,
885,11953,12.354,카게무샤,,7.9,"['Action', 'Drama', 'History', 'War']",George Lucas,Action Drama History War,
886,1394,7.101,노스텔지아,,7.9,"['Drama', 'Romance']",Andrea Crisanti,Drama Romance,
887,11830,10.155,담뽀뽀,,7.9,['Comedy'],Juzo Itami,Comedy,
888,23160,7.699,베크마이스터 하모니즈,,7.9,['Drama'],Paulo Branco,Drama,
889,22596,7.119,안전불감증,,7.9,"['Comedy', 'Romance', 'Action']",Harvey Parry,Comedy Romance Action,
890,546554,47.578,나이브스 아웃,,7.9,"['Comedy', 'Crime', 'Mystery']",Mary Vernieu,Comedy Crime Mystery,
891,86000,7.166,오직 그대만,,7.9,"['Romance', 'Drama', 'Adventure']",Bang Jun-seok,Romance Drama Adventure,
892,33320,14.167,천년여우,,7.9,"['Animation', 'Drama', 'Romance']",Hisao Shirai,Animation Drama Romance,
893,113833,9.311,노멀 하트,,7.9,['Drama'],Cliff Martinez,Drama,
894,10757,11.564,때로는 행복 때로는 슬픔,,7.9,"['Comedy', 'Drama']",Farah Khan,Comedy Drama,
895,843241,690.279,일곱 개의 대죄: 빛에 저주받은 자들,,7.9,"['Animation', 'Fantasy']",Takayuki Hamana,Animation Fantasy,
896,71157,7.868,경찰들,,7.9,"['Drama', 'Thriller']",Stephen Warbeck,Drama Thriller,
897,581,17.956,늑대와 춤을,,7.9,"['Adventure', 'Drama', 'Western']",Kevin Costner,Adventure Drama Western,
898,93,12.423,살인자의 해부,,7.9,"['Crime', 'Drama', 'Mystery', 'Thriller']",Otto Preminger,Crime Drama Mystery Thriller,
899,24238,9.53,메리와 맥스,,7.9,"['Animation', 'Comedy', 'Drama']",Andrew Mackie,Animation Comedy Drama,
900,579792,9.879,Cindy La Regia,,7.9,"['Comedy', 'Romance']",Catalina Aguilar Mastretta,Comedy Romance,
901,1162,8.435,미라클 워커,,7.9,['Drama'],Ruth Morley,Drama,
902,934,7.407,리피피,,7.9,"['Drama', 'Action', 'Crime']",Georges Auric,Drama Action Crime,
903,11049,9.347,인터스텔라 5555,,7.9,"['Animation', 'Science Fiction', 'Music', 'Adventure']",Thomas Bangalter,Animation Science Fiction Music Adventure,
904,5924,13.645,빠삐용,,7.9,"['Crime', 'Drama']",Robert Watts,Crime Drama,
905,20334,8.466,모퉁이 가게,,7.9,"['Comedy', 'Drama', 'Romance']",Ernst Lubitsch,Comedy Drama Romance,
906,152742,11.041,베스트 오퍼,,7.9,"['Drama', 'Romance', 'Crime']",Ennio Morricone,Drama Romance Crime,
907,31056,9.992,사랑에 관한 짧은 필름,,7.9,"['Drama', 'Romance']",Krzysztof Kieślowski,Drama Romance,
908,14574,44.326,줄무늬 파자마를 입은 소년,,7.9,"['War', 'Drama', 'History']",Rodney Glenn,War Drama History,
909,5511,9.31,고독,,7.9,"['Crime', 'Thriller']",Henri Decaë,Crime Thriller,
910,1626,8.151,비브르 사 비,,7.9,['Drama'],Agnès Guillemot,Drama,
911,453,24.57,뷰티풀 마인드,,7.9,"['Drama', 'Romance']",Roger Deakins,Drama Romance,
912,31011,19.713,미스터 노바디,,7.9,"['Science Fiction', 'Drama', 'Romance', 'Fantasy']",Christophe Beaucarne,Science Fiction Drama Romance Fantasy,
913,323272,51.343,기도의 힘,,7.8,"['Drama', 'Romance']",Alex Kendrick,Drama Romance,
914,359156,6.175,그렇게 살지 마라,,7.8,"['Crime', 'Drama']",Valerio Mastandrea,Crime Drama,
915,265195,20.001,와일드 테일즈: 참을 수 없는 순간,,7.8,"['Drama', 'Thriller', 'Comedy']",Esther García,Drama Thriller Comedy,
916,32480,5.763,Il marchese del Grillo,,7.8,['Comedy'],Leonardo Benvenuti,Comedy,
917,665,35.898,벤허,,7.8,"['Action', 'Drama', 'History']",Harold Michelson,Action Drama History,
918,596,10.127,분노의 포도,,7.8,['Drama'],Gregg Toland,Drama,
919,115,21.482,위대한 레보스키,,7.8,"['Comedy', 'Crime']",Roger Deakins,Comedy Crime,
920,317442,211.879,나루토 질풍전 극장판 7기 - 더 라스트 - 나루토 더 무비,,7.8,"['Action', 'Romance', 'Animation']",Hirotsugu Kawasaki,Action Romance Animation,
921,980,8.249,옥스보우 인서던트,,7.8,['Western'],James Basevi,Western,
922,609242,26.952,세기의 도둑,,7.8,"['Comedy', 'Thriller', 'Crime']",Alex Zito,Comedy Thriller Crime,
923,24480,10.613,구름 조금,,7.8,"['Animation', 'Family', 'Comedy']",Andrew Stanton,Animation Family Comedy,
924,777,9.233,위대한 환상,,7.8,"['Drama', 'History', 'War']",Claude Renoir,Drama History War,
925,730840,79.061,트롤헌터: 라이즈 오브 타이탄,,7.8,"['Animation', 'Fantasy', 'Family', 'Action', 'Adventure']",Andrew L. Schmidt,Animation Fantasy Family Action Adventure,
926,47931,19.262,엘리트 스쿼드 2,,7.8,"['Drama', 'Action', 'Crime']",Bráulio Mantovani,Drama Action Crime,
927,6075,14.241,칼리토,,7.8,"['Crime', 'Thriller', 'Drama']",David Koepp,Crime Thriller Drama,
928,144,9.83,베를린 천사의 시,,7.8,"['Drama', 'Fantasy', 'Romance']",Monika Jacobs,Drama Fantasy Romance,
929,11602,7.205,창문을 통해 어렴풋이,,7.8,['Drama'],Ingmar Bergman,Drama,
930,200727,50.583,"러브, 로지",,7.8,"['Comedy', 'Romance']",Robert Kulzer,Comedy Romance,
931,59440,73.196,워리어,,7.8,"['Drama', 'Action']",Mark A. Mangini,Drama Action,
932,9479,62.494,팀버튼의 크리스마스 악몽,,7.8,"['Fantasy', 'Animation', 'Family']",Tim Burton,Fantasy Animation Family,
933,1018,17.187,멀홀랜드 드라이브,,7.8,"['Thriller', 'Drama', 'Mystery']",Johanna Ray,Thriller Drama Mystery,
934,506574,62.623,디센던츠 3,,7.8,"['Family', 'TV Movie', 'Music', 'Adventure', 'Fantasy']",David Lawrence,Family TV Movie Music Adventure Fantasy,
935,16859,36.573,마녀 배달부 키키,,7.8,"['Animation', 'Family', 'Fantasy', 'Adventure']",Hayao Miyazaki,Animation Family Fantasy Adventure,
936,352173,8.081,의혹의 맹점,,7.8,"['Crime', 'Drama', 'Thriller', 'Mystery']",Vishal Bhardwaj,Crime Drama Thriller Mystery,
937,17483,12.759,셀터,,7.8,"['Drama', 'Romance']",J. Peter Robinson,Drama Romance,
938,113,13.32,봄 여름 가을 겨울 그리고 봄,,7.8,['Drama'],Kim Ki-duk,Drama,
